,T_min,T_max,R_s
2008-02-01,-6.3,3.0,7.2324
2008-02-02,-2.5,9.8,5.994
2008-02-03,-4.8,0.0,3.168
2008-02-04,-6.9,0.1,9.1152
2008-02-05,-7.1,3.7,1.4724000000000002
2008-02-06,-1.6,2.4,1.5408
2008-02-07,-9.4,-1.6,2.8188
2008-02-08,-12.9,-2.4,5.4468000000000005
2008-02-09,-5.9,1.1,5.04
2008-02-10,-6.2,1.6,2.1168
2008-02-11,-7.2,-1.4,4.1112
2008-02-12,-7.4,-3.6,6.9696
2008-02-13,-6.9,9.9,1.1592
2008-02-14,-2.5,8.0,10.1304
2008-02-15,-6.1,4.0,7.1352
2008-02-16,-9.3,-3.2,13.1004
2008-02-17,-9.3,2.1,9.0108
2008-02-18,2.0,9.9,1.962
2008-02-19,0.1,6.9,13.9104
2008-02-20,-4.8,0.7,9.198
2008-02-21,-8.6,-4.4,10.0008
2008-02-22,-9.7,-2.5,8.0244
2008-02-23,-5.7,-0.7,9.0144
2008-02-24,-7.6,0.5,14.7096
2008-02-25,-2.5,3.7,9.81
2008-02-26,-2.4,3.0,7.506
2008-02-27,-0.6,6.6,3.87
2008-02-28,-8.9,-0.6,7.92
2008-02-29,-12.5,-7.3,16.9308
2008-03-01,-11.0,3.5,2.5632
2008-03-02,-3.9,0.3,5.5404
2008-03-03,-5.0,3.8,15.0372
2008-03-04,-0.1,7.9,6.552
2008-03-05,-0.5,10.5,3.2112
2008-03-06,-3.7,2.5,17.1288
2008-03-07,-5.3,9.4,16.970399999999998
2008-03-08,5.5,12.4,1.6668
2008-03-09,-5.5,8.5,6.2496
2008-03-10,-6.8,-3.5,13.14
2008-03-11,-5.2,0.1,18.6264
2008-03-12,-2.9,3.8,8.4024
2008-03-13,-6.3,0.2,16.848
2008-03-14,-5.5,1.7,7.4304
2008-03-15,-5.0,-0.7,2.3472
2008-03-16,-7.9,1.8,13.2336
2008-03-17,-4.0,2.0,10.0908
2008-03-18,-5.4,2.0,18.3024
2008-03-19,-6.8,3.6,14.3676
2008-03-20,-0.3,7.3,2.0196
2008-03-21,-2.7,0.6,5.22
2008-03-22,-3.1,0.9,10.5444
2008-03-23,-4.3,0.8,20.9736
2008-03-24,-7.4,3.0,20.8296
2008-03-25,-7.2,1.9,18.684
2008-03-26,-6.2,4.3,2.8008
2008-03-27,-1.0,5.5,17.0712
2008-03-28,-0.3,3.1,1.8468
2008-03-29,-3.5,0.7,12.895199999999999
2008-03-30,-3.7,3.0,17.5428
2008-03-31,-3.1,4.7,16.1676
2008-04-01,3.3,8.7,4.1148
2008-04-02,0.0,7.8,22.3416
2008-04-03,-0.4,5.2,23.6232
2008-04-04,0.4,6.2,6.6095999999999995
2008-04-05,2.4,4.8,5.4144
2008-04-06,-0.6,7.1,7.3944
2008-04-07,-1.1,11.5,24.3216
2008-04-08,-2.4,11.2,24.296400000000002
2008-04-09,-1.3,11.9,21.3156
2008-04-10,2.6,6.9,5.4792
2008-04-11,2.5,7.1,23.0868
2008-04-12,3.3,8.4,5.5367999999999995
2008-04-13,3.0,7.1,18.4752
2008-04-14,1.2,6.5,20.8872
